,Title,Link,Authors,Venue,Year,Study Period (per user),Study Period (per user) - DAYS,# Sessions (per user),# Sessions (per user) - INTEGER,Session Length (per session),Session Length (per session) - MINUTES,"Total average est. Minutes per person. INTEGER. If range, take midpoint to estimate.",# Participants (with full data),# Participants (with full data) - INTEGER,HRI Type (detailed),HRI Type,Domain (detailed),Domain,Subdomain,Robot Used,Primary Robot Feature(s),Country,Location (detailed),Location,Age (detailed),Age group (detailed),Age group,Qualitative Data (Y/N),"Quantitative (separable conditions, Y/N)","Quantitative (by user type, Y/N)",Data Collection for Machine Learning (Y/N),Statistical Significances Found (detailed),Statistical Significances Found (Y/N),Conditions (detailed),Conditions (Y/N),Behavioral Variation (detailed),Behavioral Variation (Y/N),Adaptation + Personalization (detailed),Adaptation + Personalization (Y/N),User modeling by robot (detailed),User modeling by robot (Y/N),WoZ / Autonomous / Hybrid (detailed),WoZ / Autonomous / Hybrid,Main results,Measure Engag.? (with robot) - detailed,"Measure Engag.? (with robot, Y/N)",Engagement Measures + Results (detailed),Engagement Measures Type,Novelty Effect measures or mentioned? (Y/N),Novelty Comments/Methods,Incentivization (detailed),Comments
NS,Shaping Productive Help-Seeking Behavior During Robot-Child Tutoring Interactions,https://ieeexplore.ieee.org/iel7/7446754/7451718/07451759.pdf?casa_token=ECRbUq6kfwgAAAAA:5NCrPes9Q2dOzgHrVOD1mn0-8_3MlVZpBru1B5Hvs2MnqYFMB5ApUEzzTUApelCtZPgX57bHMg,"ADITI RAMACHANDRAN, CHIEN-MING HUANG, BRIAN SCASSELLATI",HRI,2016,around 2 weeks,14,4,4,,unknown,unknown,29,29,Diadic,Diadic,Education,Education,Math - Fractions,NAO,,USA,School,School,11,Children,Children (3-12),N,Y,Y,N,Yes,Y,Shape Productive Help-seeking behaviors vs Control,Y,,Y,,Y,Yes,Y,No,Autonomous,"adaptive shaping strategies from the robot targeting suboptimal help requests, reduced their suboptimal behaviors over time significantly more than a control group, as well as improved their scores from pretest to posttest significantly more than a control group.",,N,,None,,,,
NS,Towards Long-Term Social Child-Robot Interaction: Using Multi-Activity Switching to Engage Young Users,https://uhra.herts.ac.uk/bitstream/handle/2299/18574/Published_Version.pdf?sequence=2,"Alexandre Coninx, Paul Baxter, Elettra Oleari, Sara Bellini, Bert Bierman, Olivier Blanson Henkemans, Lola Canamero, Piero Cosi, Valentin Enescu, Raquel Ros Espinoza, Antoine Hiolle, Remi Humbert, Bernd Kiefer, Ivana Kruijff-Korbayova, Rosemarijn Looije, Marco Mosconi, Mark Neerincx, Giulio Paci, Georgios Patsis, Clara Pozzi, Francesca Sacchitelli, Hichem Sahli, Alberto Sanna, Giacomo Sommavilla, Fabio Tesser, Yiannis Demiris, Tony Belpaeme",JHRI ,2016,1-2 months,45,3,3,3 sessions,48,144,3,3,Diadic,Diadic,Health and Wellness,Physical Health,diabetes,NAO,,Italy,hospitals,Hospital,9-13,Children,Children (3-12),Y,N,Y,N,no,N,x,N,,Y,,Y,yes,Y,yes,WoZ,We demonstrate the ability of our system to induce a varied interaction and show the potential of this approach both as an educational tool and as a research method for long-term cHRI.,yes (but probably through woz),Y,questionnaire at end of session,Surveys/Self-Reported,,,,
NS,Understanding Factors that Shape Children’s Long Term Engagement with an In-Home Learning Companion Robot,https://dl.acm.org/doi/pdf/10.1145/3501712.3529747?casa_token=YDFAJLuFZykAAAAA:KZNyuT4VvKiYNx-Q1UshiqhAguSgy62z3FmPPHV-k3BOk1KaYVGqJsXCUAcfpB1L4FcGBWdluKFj,"Bengisu Cagiltay, Nathan White, Rabia Ibtasar, Bilge Mutlu, and Joseph Michaelis",Interaction Design and Children (IDC),2022,4 weeks,28,guess: 12,12,guess: 15,15,180,14,14,Diadic,Diadic,Education,Education,Reading Science,Misty,,USA,Home,Home,10-12,Children,Children (3-12),Y,N,N,N,No,N,Within. One week without robot then 4 weeks with,Y,,Y,,Y,No,N,No,Autonomous,Design and Case studies,,Y,interviews specifically about long term engagement,Surveys/Self-Reported,,,,
NS,Living with Robots: Investigating the Habituation Effect in Participants' Preferences During a Longitudinal Human-Robot Interaction Study,https://ieeexplore.ieee.org/iel5/4415041/4415042/04415149.pdf?casa_token=lIXFyjxQ0isAAAAA:EwhsjGUAp7Q_Q4NzrdAt9lGqytoFiYxLDNs39bCjj47_u8tLzNLYKRCJioE05WfAFvkomk-LCQ,"Kheng Lee Koay, Dag Sverre Syrdal, Michael L. Walters and Kerstin Dautenhahn",RO-MAN,2007,five weeks,35,8,8,1 hour,60,480,33 participants. only 12 in longitudinal study,12,Diadic,Diadic,Entertainment,General Purpose,robot preferences,Custom,,UK,university - robot house,Lab,adults,Other,Adults (18+),N,Y,Y,N,yes,Y,"approach distance, approach direction, and appearance",Y,,Y,,N,no,N,yes?,Hybrid,The results of this study show that participants' preferences change over time as the participants habituate to the robot. This trend was significant in terms of the robot's appearance and approach direction.,no,N,,None,,,,
NS,Relationships between User Experiences and Children’s Perceptions of the Education Robot,https://ieeexplore.ieee.org/iel5/5447157/5453161/05453197.pdf?casa_token=8s8E3jrmMOMAAAAA:z-6QSPKncUCElVxWx4aCmBwQh8oeS2jCsCcrE8p0SpMgowjtcMHzcv79tH6hH0Wai2E31kZx6Q,"Eunja Hyun, Hyunmin Yoon, Sooryun Son",HRI,2010,2 weeks,14,10,10,1 hour or less,60,600,111,111,Group,Group,Entertainment,General Purpose,,iRobiQ,,Korea,kindergarden and daycare,Day Care,5  year old,Children,Children (3-12),N,N,Y,N,yes,Y,no,N,,Y,,unclear,,unclear,does not really say,Autonomous,,,N,,None,,,,SHORT PAPER
NS,Interpretative Dynamics in Human Robot Interaction,https://ieeexplore.ieee.org/iel5/4107768/4107769/04107794.pdf?casa_token=1YLr9t_pVWIAAAAA:NA0f3xxgpqUWYylghkelMQxz6NcbMTIfIpTrQ59Nmx6y9PY8D3aWLvr4OhmTB0-YgzWmRhyKlg,Leonardo Giusti and Patrizia Marti,RO-MAN,2006,1 month,30,8,8,20 minutes,20,160,5,5,Group,Group,Health and Wellness,Mental/Cognitive Health,caring for robot,Paro,,Italy,nursing home,Care Home,56-85,Seniors,Elderly (above 65),Y,N,Y,N,no,N,no,N,,Y,,N,no,N,autonomous,Autonomous,"mental compromised subjects alternate their assessment of the robot from an inanimate object to an agent, depending on the severity of their disease. However, the observation shows that also subjects talking about the robot as an inanimate object, continue to be emotionally and intellectually involved in the experience.",no,N,,None,,,,
NS,A long-term study of children with autism playing with a robotic pet: Taking inspirations from non-directive play therapy to encourage children’s proactivity and initiative-taking,https://search.ebscohost.com/login.aspx?direct=true&profile=ehost&scope=site&authtype=crawler&jrnl=15720373&AN=45688625&h=rMA3sqzkvchCrpHdJDuwEARKHJQvofmB2RNdnSWVJ5WwnsnIZDfezc8ScB2Yr3%2FV%2BISx%2BsxWC3TNTchho1yGHQ%3D%3D&crl=f&casa_token=iwM6XwBvwbsAAAAA:0KFTxiuIC4DAYmT1jMEz2RI98onbdIEMXo-CsfRetOw1Yk_PPyA04tFXd1NJwiDgC5rl6cgNt536zQ,"Dorothée François, Stuart Powell & Kerstin Dautenhahn",Interaction Studies,2009,10 weeks,70,once a week,10,up to 40 mins,40,400,6,6,Triadic,Triadic,Entertainment,ASD,ASD,Aibo,,UK,school,School,4-11,Children,Children (3-12),Y,N,N,N,no,N,no,N,,Y,,Y,no,N,yes,Hybrid,"s. The children’s progress was analyzed according to three dimensions, namely, Play, Reasoning and Affect. Results from the case-study evaluations have shown the capability of the method to meet each child’s needs and abilities.",no,N,,None,,,,
NS,How do you Play with a Robotic Toy Animal? A long-term study of Pleo,https://dl.acm.org/doi/pdf/10.1145/1810543.1810549?casa_token=2bVvzGj3tZYAAAAA:KzhXIkZmP8o3L3E5Eo5yfsSk4DMEcC9V3yftOc-6rDvmLjODmy5TsCWUxYT6xdtbti81unDfryyr,"Ylva Fernaeus, Maria Håkansson, Mattias Jacobsson, Sara Ljungblad",Interaction Design and Children (IDC),2010,2-10 months,180,free play,unknown,free play,unknown,unknown,6 families,6,Group,Group,Entertainment,Entertainment/Game-Play,free play,Pleo,,Sweden,home,Home,1-17,Children,Children (3-12),Y,N,N,N,no,N,no,N,,Y,,N,no,N,autonomous,Autonomous,"the data suggests an apparent tension between participants expecting the robot to work as a „toy‟ while making consistent comparisons with real pet animals. We end by discussing a series of implications for design of this category of toys, in order to better maintain interest and engagement over time.",kinda,Y,they verbally discuss it,Surveys/Self-Reported,,,,
NS,"Modeling engagement in long-term, in-home socially assistive robot interventions for children with autism spectrum disorders",https://www.science.org/doi/full/10.1126/scirobotics.aaz3791?casa_token=6_5-L582w6oAAAAA:uuwPZJWDYJRy3DhhELhCADjRiK0yUsDBLdP97q1hU9jCzD_KThTNNLXlCTf9-_UM1b4ozG_JKzNH6A,"Shomik Jain, Balasubramanian Thiagarajan, Zhonghao Shi, Caitlyn Clabaugh, Maja J. Matarić",Science Robotics ,2020,1 month,30,,unknown,average 3 hours per participant,unknown,180,7,7,Diadic,Diadic,Education,ASD,ASD,Kiwi,,USA,home,Home,3-7,Children,Children (3-12),N,N,Y,Y,yes,Y,general-ized and individualized models,Y,,Y,,Y,yes,Y,autonomous,Autonomous," This work applies supervised machine-learning algorithms to model user engagement in the context of long-term, in-home SAR interventions for children with ASD. Specifically, we present two types of engagement models for each user: (i) generalized models trained on data from different users and (ii) individualized models trained on an early subset of the user’s data. The models achieved about 90% accuracy (AUROC) for post hoc binary classification of engagement, despite the high variance in data observed across users, sessions, and engagement states.",yes,Y,"Specifically, we present two types of engagement models for each user: (i) generalized models trained on data from different users and (ii) individualized models trained on an early subset of the user’s data. The models achieved about 90% accuracy (AUROC) for post hoc binary classification of engagement, despite the high variance in data observed across users, sessions, and engagement states. Moreover, temporal patterns in model predictions could be used to reliably initiate reengage-ment actions at appropriate times. ","Model from Sensors (CV, audio, etc.)",,,,
NS,Long-term personalization of an in-home socially assistive robot for children with autism spectrum disorders,https://www.frontiersin.org/articles/10.3389/frobt.2019.00110/full,"Caitlyn Clabaugh, Kartik Mahajan, Shomik Jain, Roxanna Pakkar, David Becerra, Zhonghao Shi, Eric Deng, Rhianna Lee, Gisele Ragusa and Maja Mataric",Frontiers in Robotics & AI,2019,1 month,41,,14,min 20 interactions,unknown,unknown,17,17,Diadic,Diadic,Education,ASD,ASD,Kiwi,,USA,home,Home,3-7,Children,Children (3-12),N,N,Y,N,yes,Y,no,N,,Y,,Y,yes,Y,autonomous,Autonomous,"Our findings demonstrate that the fully autonomous SAR system was able to personalize its instruction and feedback over time to each child’s proficiency. As a result, every child participant showed improvements in targeted skills and long-term retention of intervention content.",yes,Y,", all child users were engaged for a majority of the intervention, and their families reported the SAR system to be useful and adaptable

""User engagement was annotated by analyzing the camera data. A participant was considered to be engaged when paying full attention to the interaction, immediately responding to the robot's prompts, or seeking further guidance or feedback from others in the room.""",Recordings Annotations/Labeling,,,,
NS,The Effect of Personalization in Longer-Term Robot Tutoring,https://dl.acm.org/doi/pdf/10.1145/3283453,"Daniel Leyzberg, Aditi Ramachandran and Brian Scassellati",THRI ,2018,2 weeks,14,5,5,20,20,100,19,19,Diadic,Diadic,Education,Education,english learning,Keepon,,USA,bilingual elementary school,School,1st grade,Children,Children (3-12),N,Y,Y,N,yes,Y,personalized vs non-personalized,Y,,Y,,Y,yes,Y,autonomous,Autonomous,"We found that participants who received personalized lessons from the robot tutor outperformed participants who received non-personalized lessons on a post-test by 2.0 standard deviations on average, corresponding to a mean learning gain in the 98th percentile",no,N,,None,,,,
NS,“Let’s read a book together”: A Long-term Study on the Usage of Pre-school Children with Their Home Companion Robot,https://ieeexplore.ieee.org/iel7/9889327/9889305/09889672.pdf?casa_token=QqvWnWB3evsAAAAA:6s23szu_1xjflN4902NSv3aBn7G7o1r8dkGVgytMcMvH9smhN0htib617uo81nMIyxPPql9ANg,Zhao Zhao and Rhonda McEwen,HRI,2022,180 days,180,most used 1-2 times a week,75,around 5 mins,5,375,"20 families, 36 children, 27 main children",27,Diadic,Diadic,Education,Education,reading companion,Luka,,Canada,home,Home,2-7,Children,Children (3-12),Y,N,Y,N,no,N,no,N,,Y,,N,no,N,autonomous,Hybrid,a social robot with reading as its primary function has the potential to both attract parental buyers and engage children in long-term use of the robot’s diverse features.,yes,Y,", the number of active users decreased over time",Drop Out Rate (from sessions or free use),,,,
NS,Mixed-Method Long-Term Robot Usage: Older Adults’ Lived Experience of Social Robots,https://ieeexplore.ieee.org/iel7/9889327/9889305/09889488.pdf?casa_token=y4VZ78CDQMgAAAAA:B7-Dh8scI4LRYPZgAHXmFE514cF-GaThsvOHUMB2NmYMMvtIG5KIcFOWE8tcVF_TCaWeQ5Qbrg,"Anastasia K. Ostrowski, Cynthia Breazeal, Hae Won Park",HRI,2022,1-12 months,150,73 actions per week,1559,1 minute (guess),1,1559,17 usages (some had 2 people interacting),28,Diadic,Diadic,Home Use,General Purpose,experiences of living with robot,Jibo,,UsA,home,Home,70-94,Seniors,Elderly (above 65),Y,N,Y,N,kinda,Y,no,N,,Y,,N,no,N,autonomous,Autonomous,"highlight feelings of guilt, the robot’s proactivity and movement, meeting (or not meeting) user expectations, and the robot’s persona as key aspects of the hosting experience that promoted usage or nonusage. Finally, we provide design guidelines for structuring future mixed-method long-term robot usage studies being mindful of ethical considerations in this space.",yes,Y,We propose reflections on the novelty effect with respect to older adults’ usage data,None,,,,
NS,Individual differences of children with autism in robot-assisted autism therapy,https://ieeexplore.ieee.org/iel7/9889327/9889305/09889537.pdf?casa_token=SCa18BqyNtsAAAAA:63DWoP6dDQPFBcJchY57cgRIXx629qBUidTOd8kqGYnDONt6LckDw7dsNxK1WIu3O6sYS66qtg,"Sandygulova, Anara, Aida Amirova, Zhansaule Telisheva, Aida Zhanatkyzy, and Nazerke Rakhymbayeva",HRI,2022,3 weeks,21,7,7,"on average 7, 15 minute sessions",15,105,34,34,Triadic,Triadic,Education,ASD,ASD,NAO,,Kazakhstan,Children Rehab center,Rehabilitation Facility,3-12,Children,Children (3-12),Y,N,Y,N,yes,Y,"co-occurrence of ADHD, verbal skills, and age groups.",Y,,Y,,Y,no,N,i think autonomous,Hybrid,"The main findings are: 1) severity of ASD forms may not predict intervention outcomes but instead the co-occurrence of ADHD with LFA diagnosis may negatively impact social smiling; 2) verbal children were more generally engaged and less aggressive with the robot than non-verbal children whose curiosity rose over sessions; and 3) younger children (3.4 y.o.) showed more affection, while older children (7-12 y.o.) were better engaged through speaking more words and having longer engagement and eye contact with the robot.",yes,Y,"the verbal group spent significantly more time being engaged. the older group was
significantly more engaged, spoke more words and expressed
more positive emotions in comparison to the other groups.significant difference
in interaction engagement of children with ASD between the
first and last sessions. LIKERT + VIDEO CODING.",Multiple,,,,
NS,Robot-Mediated Interaction Between Children and Older Adults: A Pilot Study for Greeting Tasks in Nursery Schools,https://ieeexplore.ieee.org/iel7/9889327/9889305/09889632.pdf?casa_token=vclwLXGPHjQAAAAA:s0VEKucf55OXaqkWZM0hObom24Q7Ki2YFcHIUy5Imr3UK8fW8y16_zJNkktHcQRyA5KmiOMkrQ,"Junya Nakanishi, Jun Baba, Hiroshi Ishiguro
",HRI,2022,9 days,9,18,18,minutes,unknown,unknown,"5 adults, around 40 children",40,Triadic,Triadic,Entertainment,General Purpose,greeting,Sota,,Japan,nursery school,Day Care,"70+, and 0-5",Other,Infants/Toddlers (0-3),N,N,Y,N,some,Y,no,N,,N,,N,no,N,teleoperated,WoZ,"The results suggest that using teleoperated robots in dialogue-based tasks motivate the children to interact with the robot, and it increases the probability of learning from the tasks. Further, the older adult teleoperators enjoyed the task and wanted to continue the same.",no,N,,None,,,,
NS,Memory-Based Personalization for Fostering a Long-Term Child-Robot Relationship,https://ieeexplore.ieee.org/iel7/9889327/9889305/09889446.pdf?casa_token=QNuRJIkgfLkAAAAA:4AxwCItmBASA7yB8IdeJO7rAR2eY9vIwVea44RUO_Qb4C7mlatFiqSo6bY54tHMY0fMQalPAfA,"Mike E.U. Ligthart, Mark A. Neerincx, Koen V. Hindriks
",HRI,2022,2 months,60,5,5,15 mins,15,75,46,46,Diadic,Diadic,Entertainment,General Purpose,chatting/relationship building,NAO,,Netherlands,school classroom,School,8-10,Children,Children (3-12),N,Y,N,N,yes,Y,personalized vs control,Y,,Y,,Y,kinds. remembered what the user said,Y,autonomous,Autonomous,"the strategy kept children interested longer in the robot, fosters more closeness, elicits more positive social cues, and adds continuity between sessions.",kinda,Y,"There was no statistically significant interaction between the use of memory-based personalization and the sessions on the willingness to continue. However, the main effect
of session showed that there was a statistically significant
difference in the willingness to continue between different
sessions

""Jong et
al."" as questionnaire",Surveys/Self-Reported,,,,
NS,Working with a Social Robot in School: A Long-Term Real-World Unsupervised Deployment,https://dl.acm.org/doi/pdf/10.1145/3319502.3374803,"Davison, Daniel P., Frances M. Wijnen, Vicky Charisi, Jan van der Meij, Vanessa Evers, and Dennis Reidsma",HRI,2020,4 months,120,6,6,6 mins,6,26,"61 total, 17,24,20 - but only last (20) had robot",20,Diadic,Diadic,Education,Education,"learning tasks, physics",Zeno,,Netherlands,schools,School,6-10,Children,Children (3-12),N,Y,Y,N,yes,Y,"base, praise no robot, praise robot",Y,,Y,,Y,no,N,autonomous,Autonomous,"We found that children in class 3 (with robot and praise) initiated significantly more sessions (m = 7.9, sd = 4.5) than children in class 2 (without robot, with praise)",yes,Y,"The system was used most frequently during the first weeks, with some individual children even interacting multiple times per week. Overall usage generally declined towards the end; yet we saw that a small number of unique children continued to interact with the system each week. For class 2 and class 3 this decline occurred after roughly 3-4 weeks.",Drop Out Rate (from sessions or free use),,,,
NS,Social Robot for Rehabilitation: Expert Clinicians and Post-stroke Patients' Evaluation following a Long-term Intervention,https://dl.acm.org/doi/pdf/10.1145/3319502.3374797?casa_token=m7pWecIqXsYAAAAA:ZMYbRplo8oN__ptzAeuzr_gvzFY5OoSWPiIir5d6raz6W8_Aq-SzFkfr2R8qR_Zj-UYAc9ItgZto,"Ronit Feingold Polak, Shelly Levy-Tzedek",HRI,2020,5-7 weeks,41,"2-3 times a week, total of 15",15,40-60 minutes,50,750,4,4,Diadic,Diadic,Health and Wellness,Physical Health,post-stroke rehab,Pepper,,Israel,rehab facility,Rehabilitation Facility,51-75,adults and elderly,Mixed,Y,N,Y,N,no,N,x,N,,Y,,N,no,N,"semi-autonomous, person inputs some data before session",Autonomous,"Both the clinicians and the patients found the robot and the gamified system engaging, motivating and meeting the needs of upper limb rehabilitation.",not really,N,*just mentions taht participants found it engaging,None,,,,
NS,A Social Robot as Therapy Facilitator in Interventions to Deal with Dementia-related Behavioral Symptoms,https://dl.acm.org/doi/pdf/10.1145/3319502.3374840?casa_token=QZUaYUz2LT8AAAAA:BmSUxuzny_70uchRKBiADkNwFSL3zR-p-PGxvlAWEpUPGiQyuOdFWswXEdNizIpmpM2wSxy2Bq7P,"Dagoberto Cruz-Sandoval,Arturo Morales-Tellez, Eduardo Benitez Sandoval, Jesus Favela
",HRI,2020,9 weeks,45,"2 times  per week, 14 group sessions total, 3 participants per session. average 12 sessions per participant",12,30,30,360,8,8,Group,Group,Health and Wellness,Mental/Cognitive Health,"cognitive simulation therapy, dementia",Eva,,Mexico,Geriatric residence,Care Home,74-95,Seniors,Elderly (above 65),Y,N,Y,N,yes,Y,x,N,,Y,,Y,no,N,autonomous,Autonomous,"The results show a statistically significant decrease in the total score of NPI-NH. Also, three dementia-related symptoms: delusions, agitation/aggression, and euphoria/exaltation, show a statistically significant decrease after the intervention.",not really,N,,None,,,,
NS,"""Are You Sad, Cozmo?"" How Humans Make Sense of a Home Robot's Emotion Displays",https://dl.acm.org/doi/pdf/10.1145/3319502.3374814?casa_token=8O66m7GXOpIAAAAA:JIjDij7HKK0laoibbjDbDrvozdq1VQWvYC5tFKZTd68kwS7WRX0dBKNqhIaZXYyqILQO51xHbOmf,"Hannah Pelikan, Mathias Broth and Leelo Keevallik",HRI,2020,8-13 days,11,free play,unknown,free play,unknown,unknown,4 swedish families,20,Group,Group,Entertainment,Entertainment/Game-Play,play,Cozmo,,Sweden,home,Home,8-14,Children,Children (3-12),Y,N,N,N,no,N,x,N,,Y,,N,no,N,autonomous,Autonomous,"While displays of happiness typically move the interaction forward, displays of sadness regularly lead to a reconsideration of previous actions by humans.",no,N,,None,,,,
NS,Second Language Tutoring using Social Robots: A Large-Scale Study,https://ieeexplore.ieee.org/iel7/8666012/8673065/08673077.pdf?casa_token=JCxzdanlYmgAAAAA:izz_5wpthbPDmc73vO_kvfCahbENZaWT64lQKTd4BSasqA3Io0Qg9gb61KNaLtzTvUOwvF7EJg,"Paul Vogt, Rianne van den Berghe, Mirjam de Haas, Laura Hoffman, Junko Kanero, Ezgi Mamus,
Jean-Marc Montanier, Cansu Oranc, Ora Oudgenoeg-Paz, Daniel Hernandez Garc´´ıak, Fotios Papadopoulosk,
Thorsten Schodde, Josje Verhagen, Christopher D. Wallbridgek, Bram Willemsen, Jan de Wit, Tony Belpaeme,Tilbe Goksun, Stefan Kopp, Emiel Krahmer, Aylin C. Kuntay, Paul Leseman, Amit Kumar Pandey",HRI,2019,3 weeks,21,7 session per use,7,20,20,140,"194 total, but only 108 with robot",108,Diadic,Diadic,Education,Education,English as second language,NAO,,Netherlands,schools,School,5-6,Children,Children (3-12),N,Y,N,N,yes,Y,"robot+gestures, robot, tablet, control",Y,,Y,,N,not really. just detected whether the answer was right/wrong,N,mix of autonomous and WOZ,Hybrid,"Our findings demonstrate that children are able to acquire and retain English vocabulary words taught by a robot tutor to a similar extent as when they are taught by a tablet application. In addition, we found no beneficial effect of a robot’s iconic gestures on learning gains.",no,N,,None,,,,
NS,Do Children Perceive Whether a Robotic Peer is Learning or Not?,https://dl.acm.org/doi/pdf/10.1145/3171221.3171274?casa_token=Ga7i70KrB1YAAAAA:buDXaqeaemAbg6tutECQEURs7_YCv16gg_eCJ-nSYgl3I7WlZz0A9b1fIevUp5WmEZpyOu8hb602,"Shruti Chandra, Raul Paradeda, Hang Yin, Pierre Dillenbourg, Rui Prada and Ana Paiva",HRI,2018,1 month,30,4,4,"4 session, 13-15 minutes per session",14,56,25,25,Diadic,Diadic,Education,Education,handwriting,NAO,,Portugal,computer classroom in school,School,7-9,Children,Children (3-12),N,Y,Y,N,yes,Y,‘learning’vs ‘non-learning,Y,,Y,,N,not really,N,autonomous,Autonomous,"y. The results suggest that the children learned more in the learning condition compared with the non-learning condition and their learning gains seem to be affected by their perception of the robot. The results did not lead to any significant differences in the children’s perception of the robot in the first two weeks of interaction. However, by the end of the 4th week, the results changed. The children in the learning condition gave significantly higher writing ability and overall performance scores to the robot compared with the non-learning condition.",no,N,,None,,,,
NS,Fribo: A Social Networking Robot for Increasing Social Connectedness through Sharing Daily Home Activities from Living Noise Data,https://dl.acm.org/doi/pdf/10.1145/3171221.3171254?casa_token=1IB5NPQ6jYUAAAAA:IAs7qSMM1xDk_d52UbeWJIo59ND0mCXEYqjBP6Y_a_Svo32NZke0Kr9rNLbMninF_dz8e4z60-64,"Kwangmin Jeong, Jihyun Sung, Haesung Lee, Aram Kim, Hyemi Kim, Chanmi Park, Youin Jeong, JeeHang Lee, Jinwoo Kim",HRI,2018,4 week,28,daily use,unknown,daily,unknown,unknown,4 teams (12 people),12,Diadic / Group,Mixed,Entertainment,General Purpose,social networking,Fribo,,Korea,home,Home,20-39,Adults,Adults (18+),Y,N,N,N,no,N,x,N,,Y,,Y,reciognizes user activity,Y,autonomous,Autonomous,the first prototype of Fribo confirms that activity sharing through the use of anonymized living noise promises a virtual cohabiting experience that triggers more frequent real-world social interactions with less feeling of privacy intrusion.,no,N,,None,,,,
NS,Do Sensory Preferences of Children with Autism Impact an Imitation Task with a Robot?,https://dl.acm.org/doi/pdf/10.1145/2909824.3020234?casa_token=4tO_Og8ZyKcAAAAA:gkhCEzGWjYI0HIWlqh9zfSdScVH11IpOOLOYnxrxVeYuY05LXZLItfG9ePvzBCZGMbw2C0PEnmKu,"Chevalier, P., Raiola, G., Martin, J. C., Isableu, B., Bazile, C., & Tapus, A.",HRI,2017,8 weeks,56,"7 session, but 5 with robot",5,10 mins,10,50,12,12,Diadic,Diadic,Education,ASD,ASD,NAO,,France,asd care center room,Care Home,8-17,Children and Teenagers,Teens (13-17),Y,N,Y,N,few,Y,kinda - not controlled. just compared two different child profiles,N,,Y,,Y,"yes, modelled if they performed the gesture",Y,i think autonomous,Autonomous,", we observed that children with an overreliance on proprioceptive cues and hyporeactivity to visual cues had more difficulties imitating the robot than the other children. Moreover, the repeated sessions revealed to have positive effects on social behaviors displayed by all children (gaze to the partner, imitations) toward a human partner after the sessions with the robot.",no,N,,None,,,,
NS,Why Do They Refuse to Use My Robot?: Reasons for Non-Use Derived from a Long-Term Home Study,https://dl.acm.org/doi/pdf/10.1145/2909824.3020236?casa_token=zsEHJ2E3meMAAAAA:9ggmb8EZkk8tSmmM7DUZJrGt64xUEkIV17e0ZtSfK9la5MVRGkC8UTkoEN2ckPLW7zT2sGJsVywk,"Maartje de Graaf, Somaya Ben Allouch,Jan van Dijk",HRI,2017,2 weeks to 6 months,unknown,daily use,unknown,daily in the home,unknown,unknown,"70homes, 102 parts filled out questionnaires, 21 who had interviews",102,Diadic / Group,Mixed,Home Use,General Purpose,basic info. adhere to the systems,Karotz,,Netherlands,home,Home,,Mix,Mixed,Y,N,Y,N,yes,Y,no,N,,Y,,N,no,N,autonomous,Autonomous,"the challenge for robot designers is to create robots that are enjoyable and easy to use to capture users in the short-term, and functionally-relevant to keep those users in the longer-term.",yes,Y,the paper studies the amount of use over 6 months,Drop Out Rate (from sessions or free use),,,,
NS,Lessons From Teachers on Performing HRI Studies with Young Children in Schools,https://ieeexplore.ieee.org/iel7/7446754/7451718/07451776.pdf?casa_token=g-eA8S5JBeMAAAAA:dPYiGDiLmSYg4HfAzaSCdyjK5mPY9tdoIupOYAWPeZ2XY3Hikzf0wJ7JiYBWjQ7cZgFkLBe7zg,"Jacqueline Kory Westlund , Goren Gordon, Samuel Spaulding, Jin Joo Lee, Luke Plummer, Marayna Martinez, Madhurima Das, and Cynthia Breazeal",HRI,2016,2 months,60,7,7,"7 sessions, 10 minutes each",10,70,34,34,Diadic,Diadic,Education,Education,second language,Tega,,USA,preschool classrooms,Day Care,3-5,Children,Children (3-12),Y,N,Y,N,few,Y,no,N,,Y,,unclear,no,N,autonomous,Autonomous,"These teachers generally expected the robot to be disruptive, but found that it was not, and furthermore, had numerous positive ideas about the robot’s potential as a new educational tool for their classrooms.",no,N,,None,,,,
NS,Emotional Storytelling in the Classroom: Individual versus Group Interaction between Children and Robots,https://dl.acm.org/doi/pdf/10.1145/2696454.2696481?casa_token=Z3u-nKb8XC8AAAAA:RfXpM_BajlpUDVqhmufVbDtAChOfb_gwvlmscKESPM14G8O4L1Y4ywWj3n5D0RpgFgPvCxJwIC44,"Iolanda Leite∗ , Marissa McCoy† , Monika Lohani† , Daniel Ullman∗ , Nicole Salomons∗ , Charlene Stokes†‡, Susan Rivers† , Brian Scassellati",HRI,2015,3 weeks,21,3,3,3 sessions (15 minutes),15,45,40,40,Diadic and Group,Mixed,Education,Education,emotional understanding,Keepon,,USA,schools,School,6-8,Children,Children (3-12),N,Y,N,N,yes,Y,individual vs groups of children,Y,,Y,,N,no,N,autonomous,Autonomous,"Results show that although the individual condition increased participant’s story recall abilities compared to the group condition, the emotional interpretation of the story content seemed more dependent on the difficulty level rather than the study condition.",no,N,,None,,,,
